Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0.9386122750998457,0.9893214385250689,0.022210212207317327,-0.021100185731740665,0.0761634752413612,-0.779392616002272,-0.3576855217529622
0.9390637912114602,0.9893556049871886,0.02185733565179288,-0.021260772053177675,0.07517519158475305,-0.7836797498667901,-0.35362042753875256
0.9395123299550323,0.9893891011323966,0.021504871781910472,-0.021418462677350765,0.07417918743881174,-0.7879277705874276,-0.34949556992288583
0.9399579253897941,0.9894219319601895,0.02115283682227781,-0.021573267317161925,0.07317556276033639,-0.792135367093837,-0.3453115133550632
0.9404006111788493,0.9894541024523213,0.02080124710797691,-0.02172519590900699,0.07216442302259246,-0.7963012348012738,-0.3410688621601832
0.9408404203651215,0.9894856175581512,0.02045011926038579,-0.021874258542771283,0.07114587974332902,-0.8004240749473001,-0.33676826283075617
0.9412773858232742,0.9895164822287537,0.020099469824405802,-0.02202046562226589,0.07012004944931285,-0.804502600297872,-0.33241039971343245
0.941711539636455,0.9895467013739566,0.019749315763667476,-0.022163827661099783,0.06908705512136044,-0.8085355307935931,-0.3279960011426801
0.9421429144253006,0.989576279956072,0.019399673384294443,-0.0223043557265382,0.06804702301115027,-0.8125216073729616,-0.3235258258183904
0.9425715418725761,0.9896052228874067,0.019050559516389575,-0.022442060952853057,0.06700008609115854,-0.816459579703331,-0.31900067744604177
0.9429974541128274,0.9896335351259214,0.018701990380079712,-0.02257695499509869,0.06594638064180693,-0.8203482204552606,-0.3144213899521414
0.9434206825982052,0.9896612215983198,0.0183539824990354,-0.022709049662669897,0.06488604893026516,-0.8241863162763388,-0.309788838885169
0.9438412592479173,0.9896882872760292,0.018006551749408767,-0.022838357280627573,0.06381923626556536,-0.827972679652166,-0.30510392841314615
0.9442592161294568,0.9897147371516591,0.017659713603730823,-0.022964890577385644,0.06274609162294431,-0.8317061472209224,-0.3003675937048752
